customer_id,Recency_flag,monetary_flag
1122128,5,1
1265040,5,1
1399776,5,1
1585024,5,1
1595440,5,1
1811264,5,1
1819328,5,1
1824256,5,1
1867488,5,1
1958656,5,1
1975232,5,1
1979040,5,1
2002112,5,1
2092496,5,1
2105264,5,1
2128112,5,1
2131696,5,1
2176720,5,1
2178288,5,1
2209760,5,1
2274496,5,1
2317616,5,1
2353232,5,1
2365888,5,1
2370032,5,1
2387616,5,1
2391312,5,1
2391984,5,1
2405088,5,1
2409456,5,1
2426592,5,1
2463216,5,1
2477440,5,1
2511712,5,1
2569280,5,1
2570288,5,1
2572528,5,1
2631552,5,1
2633232,5,1
2649136,5,1
2655744,5,1
2671200,5,1
2700656,5,1
2728320,5,1
2767184,5,1
2790704,5,1
2793840,5,1
2850960,5,1
2856560,5,1
2932272,5,1
2957472,5,1
2974384,5,1
2979648,5,1
2980096,5,1
3011456,5,1
3046288,5,1
3078208,5,1
3107552,5,1
3148320,5,1
3271296,5,1
3271408,5,1
3294928,5,1
3359552,5,1
3397632,5,1
3502912,5,1
3558016,5,1
3635632,5,1
3750320,5,1
3750656,5,1
3758048,5,1
3764880,5,1
3766000,5,1
3767344,5,1
3792208,5,1
3858960,5,1
3867248,5,1
3871504,5,1
3878896,5,1
3888640,5,1
3889200,5,1
3967040,5,1
3985408,5,1
4005568,5,1
4055968,5,1
4081504,5,1
4110288,5,1
4116672,5,1
4167632,5,1
4170656,5,1
4189136,5,1
4244352,5,1
4250736,5,1
4251968,5,1
4265296,5,1
4273584,5,1
4282320,5,1
4298560,5,1
4318944,5,1
4322528,5,1
4370800,5,1
4407536,5,1
4426128,5,1
4449200,5,1
4469808,5,1
4471824,5,1
4590320,5,1
4596592,5,1
4617760,5,1
4618544,5,1
4656848,5,1
4658192,5,1
4664800,5,1
4678800,5,1
4693472,5,1
4726960,5,1
4730768,5,1
4739952,5,1
4756864,5,1
4777808,5,1
4805248,5,1
4816784,5,1
4824512,5,1
4837952,5,1
4850048,5,1
4858672,5,1
4882080,5,1
4897872,5,1
4903808,5,1
4917584,5,1
4923072,5,1
4935056,5,1
5001696,5,1
5015584,5,1
5021520,5,1
5022864,5,1
5033504,5,1
5056688,5,1
5097792,5,1
5107200,5,1
5115936,5,1
5116720,5,1
5118400,5,1
5134976,5,1
5138784,5,1
5154800,5,1
5185040,5,1
5196240,5,1
5201504,5,1
5239808,5,1
5240144,5,1
5260864,5,1
5267584,5,1
5268592,5,1
5292896,5,1
5318544,5,1
5337584,5,1
5373648,5,1
5373984,5,1
5387984,5,1
5389216,5,1
5408368,5,1
5409712,5,1
5416880,5,1
5418672,5,1
5419792,5,1
5434464,5,1
5439280,5,1
5453616,5,1
5454176,5,1
5505696,5,1
5512640,5,1
5524848,5,1
5528544,5,1
5550160,5,1
5553856,5,1
5579616,5,1
5582528,5,1
5624416,5,1
5626208,5,1
5701584,5,1
5722304,5,1
5728464,5,1
5728800,5,1
5741904,5,1
5768000,5,1
5807424,5,1
5867792,5,1
5895904,5,1
5901728,5,1
5921552,5,1
5925920,5,1
5932976,5,1
5957840,5,1
5958960,5,1
5959184,5,1
5969264,5,1
5993232,5,1
6006000,5,1
6008688,5,1
6011600,5,1
6016304,5,1
6026608,5,1
6078576,5,1
6149584,5,1
6173328,5,1
6184304,5,1
6190240,5,1
6211184,5,1
6216560,5,1
6216784,5,1
6259120,5,1
6271888,5,1
6301120,5,1
6302016,5,1
6353312,5,1
6355104,5,1
6375264,5,1
6379632,5,1
6393968,5,1
6408640,5,1
6439776,5,1
6451984,5,1
6456464,5,1
6466992,5,1
6468000,5,1
6480208,5,1
6523440,5,1
6535200,5,1
6566000,5,1
6702976,5,1
6703200,5,1
6790896,5,1
6817664,5,1
6838272,5,1
6844096,5,1
6849024,5,1
6851600,5,1
6878816,5,1
6880048,5,1
6904352,5,1
6905248,5,1
6918352,5,1
6919024,5,1
6942320,5,1
6954416,5,1
6963376,5,1
6974912,5,1
6992720,5,1
7021728,5,1
7033040,5,1
7053760,5,1
7090272,5,1
7122640,5,1
7144368,5,1
7149968,5,1
7168560,5,1
7173600,5,1
7180656,5,1
7188272,5,1
7198688,5,1
7226128,5,1
7229488,5,1
7236880,5,1
7253792,5,1
7314944,5,1
7323232,5,1
7340256,5,1
7352240,5,1
7400176,5,1
7404208,5,1
7407344,5,1
7414288,5,1
7424816,5,1
7425376,5,1
7438816,5,1
7455616,5,1
7468720,5,1
7473200,5,1
7483616,5,1
7503104,5,1
7524496,5,1
7527520,5,1
7565152,5,1
7575456,5,1
7579824,5,1
7586992,5,1
7595728,5,1
7600544,5,1
7639744,5,1
7641648,5,1
7665056,5,1
7673792,5,1
7683760,5,1
7712656,5,1
7719712,5,1
7755440,5,1
7761712,5,1
7783440,5,1
7784672,5,1
7785008,5,1
7794752,5,1
7801920,5,1
7803488,5,1
7811440,5,1
7819952,5,1
7822976,5,1
7858368,5,1
7861616,5,1
7892976,5,1
7898800,5,1
7903280,5,1
7904176,5,1
7920640,5,1
7939008,5,1
7949984,5,1
7964320,5,1
7997584,5,1
8022000,5,1
8036000,5,1
8050000,5,1
8051344,5,1
8052576,5,1
8053024,5,1
8124032,5,1
8130528,5,1
8167040,5,1
8169952,5,1
8197056,5,1
8197168,5,1
8202432,5,1
8226176,5,1
8242304,5,1
8248912,5,1
8252944,5,1
8260000,5,1
8268176,5,1
8269744,5,1
8292928,5,1
8331904,5,1
8342880,5,1
8345008,5,1
8371552,5,1
8377936,5,1
8379728,5,1
8404256,5,1
8411424,5,1
8412992,5,1
8417584,5,1
8460928,5,1
8482768,5,1
8495872,5,1
8501696,5,1
8503488,5,1
8538096,5,1
8541344,5,1
8541568,5,1
8558816,5,1
8607088,5,1
8611344,5,1
8614816,5,1
8617728,5,1
8623552,5,1
8627136,5,1
8634416,5,1
8659280,5,1
8676864,5,1
8683024,5,1
8698144,5,1
8708784,5,1
8714048,5,1
8719088,5,1
8780464,5,1
8783040,5,1
8788640,5,1
8828288,5,1
8857408,5,1
8913296,5,1
8932224,5,1
8935808,5,1
8943760,5,1
8987104,5,1
8988000,5,1
8994944,5,1
9023392,5,1
9040192,5,1
9044784,5,1
9066848,5,1
9089136,5,1
9097872,5,1
9109632,5,1
9159248,5,1
9174592,5,1
9186576,5,1
9186800,5,1
9194640,5,1
9205392,5,1
9213568,5,1
9217712,5,1
9217824,5,1
9233616,5,1
9236192,5,1
9239440,5,1
9253776,5,1
9268224,5,1
9268448,5,1
9274160,5,1
9315824,5,1
9332064,5,1
9343040,5,1
9349088,5,1
9350432,5,1
9363872,5,1
9365888,5,1
9378096,5,1
9415840,5,1
9435216,5,1
9443504,5,1
9457168,5,1
9460416,5,1
9463888,5,1
9470832,5,1
9481248,5,1
9490320,5,1
9500624,5,1
9510592,5,1
9519328,5,1
9537360,5,1
9539264,5,1
9546096,5,1
9558416,5,1
9563120,5,1
9564912,5,1
9584176,5,1
9588880,5,1
9598064,5,1
9605008,5,1
9617104,5,1
9627968,5,1
9632672,5,1
9649472,5,1
9651712,5,1
9677472,5,1
9684528,5,1
9704688,5,1
9711296,5,1
9724624,5,1
